timestamp,site_id,building_id,asset_id,temperature,humidity,pressure,vibration,power_consumption,occupancy_count,operating_mode,fault_flag,fault_type,asset_type,iso_anomaly,temperature_zscore,vibration_zscore,power_consumption_zscore,stat_anomaly,temperature_drift,vibration_drift,drift_anomaly,anomaly_score,severity,any_anomaly
2026-06-15 00:00:00,SITE_A,BLDG_001,AST_0001,9.45,41.88,101.29,2.62,78.436,19,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 00:58:00,SITE_A,BLDG_001,AST_0001,8.5,38.95,100.99,2.897,48.481,21,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 01:58:00,SITE_A,BLDG_001,AST_0001,9.23,40.45,101.33,2.406,60.342,32,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 03:03:00,SITE_A,BLDG_001,AST_0001,8.27,37.3,101.1,2.32,61.79,35,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 04:03:00,SITE_A,BLDG_001,AST_0001,8.69,44.33,100.48,2.76,62.205,29,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 05:00:00,SITE_A,BLDG_001,AST_0001,7.8,42.39,101.32,2.62,64.002,25,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 06:00:00,SITE_A,BLDG_001,AST_0001,7.49,49.02,101.37,2.49,60.23,31,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 07:04:00,SITE_A,BLDG_001,AST_0001,7.89,45.54,101.05,2.086,71.156,30,Idle,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 08:00:00,SITE_A,BLDG_001,AST_0001,7.63,48.93,100.94,2.452,189.123,85,Cooling,0,,Chiller,0,,,,0,,,0,0,Normal,0
2026-06-15 09:03:00,SITE_A,BLDG_001,AST_0001,6.45,48.13,101.22,2.661,181.681,93,Cooling,0,,Chiller,0,-1.9067697456170634,0.5590123584573504,1.803999895186963,0,,,0,0,Normal,0
2026-06-15 09:56:00,SITE_A,BLDG_001,AST_0001,8.89,45.28,100.66,2.325,192.0,89,Heating,0,,Chiller,0,0.7830597732651517,-0.8189890720851917,1.6186826873276228,0,,,0,0,Normal,0
2026-06-15 11:01:00,SITE_A,BLDG_001,AST_0001,7.67,53.08,101.76,2.487,180.578,77,Cooling,0,,Chiller,0,-0.5841019641904208,-0.10685853453906252,1.2568892194622283,0,,,0,0,Normal,0
