timestamp,site_id,building_id,asset_id,temperature,humidity,pressure,vibration,power_consumption,occupancy_count,operating_mode,fault_flag,fault_type
2026-06-15 00:00:00,SITE_A,BLDG_001,AST_0001,9.45,41.88,101.29,2.62,78.436,19,Idle,0,
2026-06-15 00:58:00,SITE_A,BLDG_001,AST_0001,8.5,38.95,100.99,2.897,48.481,21,Idle,0,
2026-06-15 01:58:00,SITE_A,BLDG_001,AST_0001,9.23,40.45,101.33,2.406,60.342,32,Idle,0,
2026-06-15 03:03:00,SITE_A,BLDG_001,AST_0001,8.27,37.3,101.1,2.32,61.79,35,Idle,0,
2026-06-15 04:03:00,SITE_A,BLDG_001,AST_0001,8.69,44.33,100.48,2.76,62.205,29,Idle,0,
2026-06-15 05:00:00,SITE_A,BLDG_001,AST_0001,7.8,42.39,101.32,2.62,64.002,25,Idle,0,
2026-06-15 06:00:00,SITE_A,BLDG_001,AST_0001,7.49,49.02,101.37,2.49,60.23,31,Idle,0,
2026-06-15 07:04:00,SITE_A,BLDG_001,AST_0001,7.89,45.54,101.05,2.086,71.156,30,Idle,0,
2026-06-15 08:00:00,SITE_A,BLDG_001,AST_0001,7.63,48.93,100.94,2.452,189.123,85,Cooling,0,
2026-06-15 09:03:00,SITE_A,BLDG_001,AST_0001,6.45,48.13,101.22,2.661,181.681,93,Cooling,0,
2026-06-15 09:56:00,SITE_A,BLDG_001,AST_0001,8.89,45.28,100.66,2.325,192.0,89,Heating,0,
2026-06-15 11:01:00,SITE_A,BLDG_001,AST_0001,7.67,53.08,101.76,2.487,180.578,77,Cooling,0,
2026-06-15 12:03:00,SITE_A,BLDG_001,AST_0001,8.59,57.14,101.23,2.48,182.608,84,Cooling,0,
2026-06-15 12:58:00,SITE_A,BLDG_001,AST_0001,8.62,53.03,101.45,2.172,182.611,72,Cooling,0,
2026-06-15 13:56:00,SITE_A,BLDG_001,AST_0001,8.71,51.49,101.1,2.394,186.654,73,Cooling,0,
2026-06-15 15:04:00,SITE_A,BLDG_001,AST_0001,8.84,54.0,100.98,2.836,181.946,69,Heating,0,
2026-06-15 16:02:00,SITE_A,BLDG_001,AST_0001,9.11,48.48,101.77,2.639,183.577,68,Heating,0,
2026-06-15 16:59:00,SITE_A,BLDG_001,AST_0001,8.89,49.92,101.89,2.658,179.978,70,Heating,0,
2026-06-15 18:00:00,SITE_A,BLDG_001,AST_0001,8.18,46.68,101.65,2.562,181.585,68,Cooling,0,
2026-06-15 18:56:00,SITE_A,BLDG_001,AST_0001,9.37,42.69,100.67,2.458,171.946,69,Cooling,0,
2026-06-15 19:57:00,SITE_A,BLDG_001,AST_0001,8.76,42.36,101.36,2.229,63.257,17,Idle,0,
2026-06-15 21:01:00,SITE_A,BLDG_001,AST_0001,9.89,40.29,100.22,2.329,61.994,12,Idle,0,
2026-06-15 22:01:00,SITE_A,BLDG_001,AST_0001,9.2,40.67,101.09,2.263,77.579,17,Idle,0,
2026-06-15 22:56:00,SITE_A,BLDG_001,AST_0001,9.58,40.34,101.69,2.618,55.315,11,Idle,0,
2026-06-15 23:58:00,SITE_A,BLDG_001,AST_0001,9.33,34.57,102.28,2.335,66.019,21,Idle,0,
2026-06-16 01:00:00,SITE_A,BLDG_001,AST_0001,9.25,36.95,101.43,2.39,58.891,25,Idle,0,
2026-06-16 02:03:00,SITE_A,BLDG_001,AST_0001,8.73,38.57,101.42,2.337,76.437,25,Idle,0,
2026-06-16 03:00:00,SITE_A,BLDG_001,AST_0001,8.33,34.56,100.88,2.923,66.614,25,Idle,0,
2026-06-16 04:02:00,SITE_A,BLDG_001,AST_0001,9.32,39.25,101.26,2.322,69.901,33,Idle,0,
2026-06-16 04:57:00,SITE_A,BLDG_001,AST_0001,8.09,40.28,101.93,2.8,75.492,35,Idle,0,
2026-06-16 06:02:00,SITE_A,BLDG_001,AST_0001,7.24,42.17,101.54,2.493,73.885,31,Idle,0,
2026-06-16 07:04:00,SITE_A,BLDG_001,AST_0001,9.38,51.25,101.57,2.589,64.064,36,Idle,0,
2026-06-16 08:02:00,SITE_A,BLDG_001,AST_0001,8.14,49.21,101.66,2.641,183.958,94,Cooling,0,
2026-06-16 09:00:00,SITE_A,BLDG_001,AST_0001,7.6,52.29,101.51,2.653,183.703,88,Cooling,0,
2026-06-16 09:56:00,SITE_A,BLDG_001,AST_0001,7.9,51.37,101.86,2.639,198.088,86,Cooling,0,
2026-06-16 10:57:00,SITE_A,BLDG_001,AST_0001,6.55,55.9,101.79,2.579,185.704,87,Heating,0,
2026-06-16 12:00:00,SITE_A,BLDG_001,AST_0001,8.18,53.89,101.62,2.49,179.215,82,Cooling,0,
2026-06-16 12:57:00,SITE_A,BLDG_001,AST_0001,7.36,46.48,101.19,2.758,192.257,73,Heating,0,
2026-06-16 14:02:00,SITE_A,BLDG_001,AST_0001,8.11,48.26,100.79,2.166,179.477,74,Cooling,0,
2026-06-16 14:58:00,SITE_A,BLDG_001,AST_0001,9.3,54.66,101.45,2.351,193.649,78,Cooling,0,
2026-06-16 16:03:00,SITE_A,BLDG_001,AST_0001,8.81,48.31,101.54,2.45,181.973,66,Cooling,0,
2026-06-16 17:00:00,SITE_A,BLDG_001,AST_0001,8.6,47.6,101.38,2.21,181.242,70,Cooling,0,
2026-06-16 17:58:00,SITE_A,BLDG_001,AST_0001,8.52,40.08,101.08,2.354,168.196,67,Heating,0,
2026-06-16 18:57:00,SITE_A,BLDG_001,AST_0001,9.53,44.46,101.03,2.219,192.238,72,Cooling,0,
2026-06-16 19:58:00,SITE_A,BLDG_001,AST_0001,9.93,41.99,100.68,2.477,60.557,14,Idle,0,
2026-06-16 21:03:00,SITE_A,BLDG_001,AST_0001,8.36,35.07,101.49,2.568,53.8,18,Idle,0,
2026-06-16 21:57:00,SITE_A,BLDG_001,AST_0001,9.95,35.98,101.51,2.22,57.608,22,Idle,0,
2026-06-16 23:04:00,SITE_A,BLDG_001,AST_0001,8.92,37.56,101.22,2.6,56.995,23,Idle,0,
2026-06-17 00:03:00,SITE_A,BLDG_001,AST_0001,10.28,34.86,101.61,2.632,67.337,18,Idle,0,
2026-06-17 01:01:00,SITE_A,BLDG_001,AST_0001,9.71,35.86,101.42,2.378,59.529,23,Idle,0,
2026-06-17 02:01:00,SITE_A,BLDG_001,AST_0001,8.3,41.57,100.49,2.027,65.941,27,Idle,0,
2026-06-17 03:01:00,SITE_A,BLDG_001,AST_0001,8.77,41.54,101.04,2.429,63.59,25,Idle,0,
2026-06-17 03:58:00,SITE_A,BLDG_001,AST_0001,7.57,37.76,101.57,2.443,70.139,27,Idle,0,
2026-06-17 04:56:00,SITE_A,BLDG_001,AST_0001,7.72,43.08,101.33,2.154,66.597,26,Idle,0,
2026-06-17 05:56:00,SITE_A,BLDG_001,AST_0001,7.94,45.66,101.39,2.427,69.309,33,Idle,0,
